defense,scenario,metric,N,rate,CI_lower,CI_upper,display
baseline,benign,PNA,51,0.8431372549019608,0.7198929160164018,0.9183087411197868,"0.8431 [0.7199, 0.9183]"
baseline,DPI,ASR,2040,0.7754901960784314,0.7568749884652869,0.7930697822057867,"0.7755 [0.7569, 0.7931]"
baseline,IPI,ASR,2040,0.8127450980392157,0.7952338333687887,0.8290806927667005,"0.8127 [0.7952, 0.8291]"
baseline,MP,ASR,2040,0.35294117647058826,0.33249737814192715,0.3739377976564322,"0.3529 [0.3325, 0.3739]"
llama_guard,benign,PNA,51,0.7254901960784313,0.5905308805092127,0.8288587798945684,"0.7255 [0.5905, 0.8289]"
llama_guard,DPI,ASR,2040,0.5504901960784314,0.5288287269030325,0.5719618627395309,"0.5505 [0.5288, 0.5720]"
llama_guard,IPI,ASR,2040,0.6838235294117647,0.6633160421754362,0.7036399880766148,"0.6838 [0.6633, 0.7036]"
llama_guard,MP,ASR,2040,0.3426470588235294,0.3223649629717106,0.36352067513253394,"0.3426 [0.3224, 0.3635]"
llm_guard,benign,PNA,51,0.7843137254901961,0.6537337712118703,0.8750618875581144,"0.7843 [0.6537, 0.8751]"
llm_guard,DPI,ASR,2040,0.765686274509804,0.7468165477048034,0.7835572346861608,"0.7657 [0.7468, 0.7836]"
llm_guard,IPI,ASR,2040,0.8073529411764706,0.789667482619311,0.8238829999621181,"0.8074 [0.7897, 0.8239]"
llm_guard,MP,ASR,2040,0.3803921568627451,0.3595679720521296,0.40166597093053596,"0.3804 [0.3596, 0.4017]"
SafeAgent,benign,PNA,51,0.803921568627451,0.6754165732550456,0.8898477516370072,"0.8039 [0.6754, 0.8898]"
SafeAgent,DPI,ASR,2040,0.3862745098039216,0.3653781905636081,0.40759834538712314,"0.3863 [0.3654, 0.4076]"
SafeAgent,IPI,ASR,2040,0.3254901960784314,0.3055015518675461,0.34613485674650707,"0.3255 [0.3055, 0.3461]"
SafeAgent,MP,ASR,2040,0.17794117647058824,0.16195403586273788,0.19513899913566907,"0.1779 [0.1620, 0.1951]"
