comparison,scenario,metric,N,SafeAgent only success,Other only success,odds_ratio,p_value,significant,p_holm,significant_holm
SafeAgent vs baseline,benign,PNA,51,1,3,0.3333333333333333,0.625,False,1.0,False
SafeAgent vs baseline,DPI,ASR,2040,855,61,14.01639344262295,4.702572064768594e-180,True,4.702572064768594e-179,True
SafeAgent vs baseline,IPI,ASR,2040,1027,33,31.12121212121212,7.965707639651617e-257,True,9.55884916758194e-256,True
SafeAgent vs baseline,MP,ASR,2040,457,100,4.57,1.7260001332083966e-55,True,1.0356000799250379e-54,True
SafeAgent vs llama_guard,benign,PNA,51,8,4,2.0,0.3876953125,False,1.0,False
SafeAgent vs llama_guard,DPI,ASR,2040,601,266,2.2593984962406015,1.4730161177693188e-30,True,5.892064471077275e-30,True
SafeAgent vs llama_guard,IPI,ASR,2040,870,139,6.258992805755396,7.308760988000796e-130,True,5.847008790400637e-129,True
SafeAgent vs llama_guard,MP,ASR,2040,458,122,3.7540983606557377,1.0516696796266035e-46,True,5.258348398133017e-46,True
SafeAgent vs llm_guard,benign,PNA,51,4,3,1.3333333333333333,1.0,False,1.0,False
SafeAgent vs llm_guard,DPI,ASR,2040,847,73,11.602739726027398,6.670472078182928e-168,True,6.003424870364635e-167,True
SafeAgent vs llm_guard,IPI,ASR,2040,1032,49,21.06122448979592,2.0060947801189394e-240,True,2.206704258130833e-239,True
SafeAgent vs llm_guard,MP,ASR,2040,511,98,5.214285714285714,2.497179569947172e-68,True,1.7480256989630203e-67,True
