comparison,scenario,metric,N,SafeAgent,Other,diff,CI_lo,CI_hi,sig,display
SafeAgent vs baseline,benign,PNA,51,0.803921568627451,0.8431372549019608,-0.0392156862745098,-0.11764705882352941,0.0392156862745098,False,"-0.0392 [-0.1176, +0.0392]"
SafeAgent vs baseline,DPI,ASR,2040,0.6137254901960785,0.22450980392156863,0.3892156862745098,0.3656862745098039,0.41323529411764703,True,"+0.3892 [+0.3657, +0.4132]"
SafeAgent vs baseline,IPI,ASR,2040,0.6745098039215687,0.18725490196078431,0.4872549019607843,0.4642156862745098,0.5102941176470588,True,"+0.4873 [+0.4642, +0.5103]"
SafeAgent vs baseline,MP,ASR,2040,0.8220588235294117,0.6470588235294118,0.175,0.15343137254901962,0.19607843137254902,True,"+0.1750 [+0.1534, +0.1961]"
SafeAgent vs llama_guard,benign,PNA,51,0.803921568627451,0.7254901960784313,0.0784313725490196,-0.058823529411764705,0.21568627450980393,False,"+0.0784 [-0.0588, +0.2157]"
SafeAgent vs llama_guard,DPI,ASR,2040,0.6137254901960785,0.44950980392156864,0.1642156862745098,0.13676470588235295,0.19166666666666668,True,"+0.1642 [+0.1368, +0.1917]"
SafeAgent vs llama_guard,IPI,ASR,2040,0.6745098039215687,0.3161764705882353,0.35833333333333334,0.3318627450980392,0.38480392156862747,True,"+0.3583 [+0.3319, +0.3848]"
SafeAgent vs llama_guard,MP,ASR,2040,0.8220588235294117,0.6573529411764706,0.16470588235294117,0.1426470588235294,0.18725490196078431,True,"+0.1647 [+0.1426, +0.1873]"
SafeAgent vs llm_guard,benign,PNA,51,0.803921568627451,0.7843137254901961,0.0196078431372549,-0.0784313725490196,0.11764705882352941,False,"+0.0196 [-0.0784, +0.1176]"
SafeAgent vs llm_guard,DPI,ASR,2040,0.6137254901960785,0.23431372549019608,0.37941176470588234,0.3558823529411765,0.4034313725490196,True,"+0.3794 [+0.3559, +0.4034]"
SafeAgent vs llm_guard,IPI,ASR,2040,0.6745098039215687,0.19264705882352942,0.4818627450980392,0.45784313725490194,0.5053921568627451,True,"+0.4819 [+0.4578, +0.5054]"
SafeAgent vs llm_guard,MP,ASR,2040,0.8220588235294117,0.6196078431372549,0.20245098039215687,0.1803921568627451,0.22450980392156863,True,"+0.2025 [+0.1804, +0.2245]"
