idx,scenario,variant,mode,attack_ok,attack_ok_s1,attack_ok_s2,status,error_type,error_message
27,ds,base,baseline,1,1,1,ok,,
9,ds,base,baseline,1,1,1,ok,,
20,ds,base,baseline,1,1,1,ok,,
5,ds,base,baseline,1,1,1,ok,,
15,ds,base,baseline,1,1,1,ok,,
25,ds,base,baseline,1,1,1,ok,,
16,ds,base,baseline,1,1,1,ok,,
14,ds,base,baseline,1,1,1,ok,,
8,ds,base,baseline,1,1,1,ok,,
13,ds,base,baseline,1,1,1,ok,,
3,ds,base,baseline,1,1,1,ok,,
32,ds,base,baseline,0,0,0,ok,,
12,ds,base,baseline,1,1,1,ok,,
21,ds,base,baseline,1,1,1,ok,,
6,ds,base,baseline,1,1,1,ok,,
29,ds,base,baseline,1,1,1,ok,,
31,ds,base,baseline,1,1,1,ok,,
19,ds,base,baseline,1,1,1,ok,,
2,ds,base,baseline,1,1,1,ok,,
23,ds,base,baseline,1,1,1,ok,,
28,ds,base,baseline,1,1,1,ok,,
1,ds,base,baseline,1,1,1,ok,,
4,ds,base,baseline,1,1,1,ok,,
22,ds,base,baseline,1,1,1,ok,,
30,ds,base,baseline,1,1,1,ok,,
46,ds,base,baseline,0,0,0,ok,,
24,ds,base,baseline,1,1,1,ok,,
11,ds,base,baseline,1,1,1,ok,,
0,ds,base,baseline,1,1,1,ok,,
18,ds,base,baseline,1,1,1,ok,,
39,ds,base,baseline,0,0,0,ok,,
17,ds,base,baseline,1,1,1,ok,,
26,ds,base,baseline,1,1,1,ok,,
10,ds,base,baseline,1,1,1,ok,,
7,ds,base,baseline,1,1,1,ok,,
33,ds,base,baseline,1,1,1,ok,,
42,ds,base,baseline,1,1,1,ok,,
43,ds,base,baseline,1,1,1,ok,,
47,ds,base,baseline,1,1,1,ok,,
60,ds,base,baseline,1,1,1,ok,,
63,ds,base,baseline,0,0,0,ok,,
49,ds,base,baseline,1,1,1,ok,,
58,ds,base,baseline,1,1,1,ok,,
34,ds,base,baseline,1,1,1,ok,,
59,ds,base,baseline,1,1,1,ok,,
40,ds,base,baseline,1,1,1,ok,,
37,ds,base,baseline,1,1,1,ok,,
55,ds,base,baseline,1,1,1,ok,,
41,ds,base,baseline,1,1,1,ok,,
52,ds,base,baseline,1,1,1,ok,,
64,ds,base,baseline,1,1,1,ok,,
56,ds,base,baseline,1,1,1,ok,,
38,ds,base,baseline,1,1,1,ok,,
35,ds,base,baseline,1,1,1,ok,,
66,ds,base,baseline,1,1,1,ok,,
57,ds,base,baseline,1,1,1,ok,,
65,ds,base,baseline,1,1,1,ok,,
80,ds,base,baseline,0,0,0,ok,,
54,ds,base,baseline,1,1,1,ok,,
61,ds,base,baseline,1,1,1,ok,,
62,ds,base,baseline,1,1,1,ok,,
44,ds,base,baseline,1,1,1,ok,,
48,ds,base,baseline,1,1,1,ok,,
51,ds,base,baseline,1,1,1,ok,,
50,ds,base,baseline,1,1,1,ok,,
45,ds,base,baseline,1,1,1,ok,,
53,ds,base,baseline,1,1,1,ok,,
76,ds,base,baseline,1,1,1,ok,,
81,ds,base,baseline,1,1,1,ok,,
67,ds,base,baseline,1,1,1,ok,,
86,ds,base,baseline,0,0,0,ok,,
36,ds,base,baseline,1,1,1,ok,,
71,ds,base,baseline,1,1,1,ok,,
83,ds,base,baseline,1,1,1,ok,,
92,ds,base,baseline,0,0,0,ok,,
68,ds,base,baseline,1,1,1,ok,,
72,ds,base,baseline,1,1,1,ok,,
77,ds,base,baseline,1,1,1,ok,,
73,ds,base,baseline,1,1,1,ok,,
101,ds,base,baseline,0,0,0,ok,,
69,ds,base,baseline,1,1,1,ok,,
74,ds,base,baseline,1,1,1,ok,,
79,ds,base,baseline,1,1,1,ok,,
97,ds,base,baseline,0,0,0,ok,,
102,ds,base,baseline,1,1,1,ok,,
84,ds,base,baseline,1,1,1,ok,,
93,ds,base,baseline,1,1,1,ok,,
70,ds,base,baseline,1,1,1,ok,,
105,ds,base,baseline,1,1,1,ok,,
100,ds,base,baseline,1,1,1,ok,,
82,ds,base,baseline,1,1,1,ok,,
98,ds,base,baseline,1,1,1,ok,,
78,ds,base,baseline,1,1,1,ok,,
89,ds,base,baseline,1,1,1,ok,,
110,ds,base,baseline,1,1,1,ok,,
106,ds,base,baseline,1,1,1,ok,,
124,ds,base,baseline,0,0,0,ok,,
85,ds,base,baseline,1,1,1,ok,,
91,ds,base,baseline,1,1,1,ok,,
95,ds,base,baseline,1,1,1,ok,,
108,ds,base,baseline,1,1,1,ok,,
115,ds,base,baseline,1,1,1,ok,,
107,ds,base,baseline,1,1,1,ok,,
120,ds,base,baseline,0,0,0,ok,,
94,ds,base,baseline,1,1,1,ok,,
103,ds,base,baseline,1,1,1,ok,,
90,ds,base,baseline,1,1,1,ok,,
117,ds,base,baseline,1,1,1,ok,,
75,ds,base,baseline,1,1,1,ok,,
104,ds,base,baseline,1,1,1,ok,,
99,ds,base,baseline,1,1,1,ok,,
96,ds,base,baseline,1,1,1,ok,,
109,ds,base,baseline,1,1,1,ok,,
